,username,link,id,shortcode,display_url,tracking_token,taken_at_timestamp,is_video,text,like_count,loc_id,loc_name
0,choiza11,https://www.instagram.com/p/BkRnGdKjgZp/,1806396892998665833,BkRnGdKjgZp,https://scontent-icn1-1.cdninstagram.com/vp/4c89555827eaa0b193afacb0ef5d4cca/5E07D746/t51.2885-15/e35/34682495_241434999954402_1849479906262515712_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com&_nc_cat=106,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiM2M1ZmU5ZjUyMjI1NDAwM2E1NDVkMDk5ZmEzNDQ1MDMxODA2Mzk2ODkyOTk4NjY1ODMzIn0sInNpZ25hdHVyZSI6IiJ9,1529559311,False,💖,4566,266677611,해운대구
1,choiza11,https://www.instagram.com/p/BYa2SlHDXrG/,1592824189537843910,BYa2SlHDXrG,https://scontent-icn1-1.cdninstagram.com/vp/41a51f5c24ac39a7ef1dbaf3a9ae61d7/5E1B13B5/t51.2885-15/e35/21147252_837852496395521_2320741417539862528_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com&_nc_cat=105,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiZjUxOGE1ZDAzYjU5NDAwODliMjZjYTk5OGY5OWJhNGUxNTkyODI0MTg5NTM3ODQzOTEwIn0sInNpZ25hdHVyZSI6IiJ9,1504099461,False,"가성비 좋음 고등어구이 매우 좋음

#수육 #한라산 #끝",8833,1023578360,오라방
2,choiza11,https://www.instagram.com/p/BXFmCBrjKYe/,1568827310219240990,BXFmCBrjKYe,https://scontent-icn1-1.cdninstagram.com/vp/ad3b3e674c47b2a0f165797217c22cd2/5E3D6395/t51.2885-15/e35/20478858_161616751052848_6445364701353213952_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com&_nc_cat=104,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiYTljZDUzYjM5ODc1NDA4ZThmNjQzODY4NWVlYjMxZmMxNTY4ODI3MzEwMjE5MjQwOTkwIn0sInNpZ25hdHVyZSI6IiJ9,1501238810,False,"이하생략.

#부산 #영도",6065,362217848,여기가 어디게?
3,choiza11,https://www.instagram.com/p/BGJ0XmwtGFu/,1263771491039994222,BGJ0XmwtGFu,https://scontent-icn1-1.cdninstagram.com/vp/cc53363f3b5815ec1c8b03d4d8d798ef/5D89174B/t51.2885-15/e15/13267375_622237917945624_572760817_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com&_nc_cat=100,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiYzQ3MmVkMjBiNzFjNDM3MTgxZTEwNmJmZDExNjI4YzQxMjYzNzcxNDkxMDM5OTk0MjIyIn0sInNpZ25hdHVyZSI6IiJ9,1464873323,True,"우리가 누구?

#dynamicduo",1741,1427908,신라대학교
4,choiza11,https://www.instagram.com/p/BV_zOwtj2My/,1549182111587459890,BV_zOwtj2My,https://scontent-icn1-1.cdninstagram.com/vp/3104a070ef13d5f9152fd71681d2af0f/5E3A5C8F/t51.2885-15/e35/19533849_314951788949004_644191214035271680_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com&_nc_cat=100,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiODgzOTM0YzI4ZThjNDdjMmJmN2Y0NDlmZjQxMDNhYjMxNTQ5MTgyMTExNTg3NDU5ODkwIn0sInNpZ25hdHVyZSI6IiJ9,1498896920,False,Duo,6234,827242554,미장원 BY 태현
5,choiza11,https://www.instagram.com/p/Bt7y_rSnoek/,1980400739295332260,Bt7y_rSnoek,https://scontent-icn1-1.cdninstagram.com/vp/70702712581f5ace84dfeb670c8ced8c/5DFE188F/t51.2885-15/e35/51037677_258197491775843_2798975479391660731_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com&_nc_cat=111,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiMGFmNDRjNWQ0NjlhNDk2YTg5ZDAzOGMxNTIwMGZhYWUxOTgwNDAwNzM5Mjk1MzMyMjYwIn0sInNpZ25hdHVyZSI6IiJ9,1550302186,False,.,3606,787335182,Jeju Aewol
6,choiza11,https://www.instagram.com/p/Bj2NHS5DIKx/,1798682777106547377,Bj2NHS5DIKx,https://scontent-icn1-1.cdninstagram.com/vp/f90e69af1c4e61c8a02842f38b218325/5E0439CE/t51.2885-15/e35/33732082_817343435125496_6794244353641414656_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com&_nc_cat=108,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiMzE3ODZhZjE3MjY3NDcyZDk4ODcyNjE5M2UzNjVhMzAxNzk4NjgyNzc3MTA2NTQ3Mzc3In0sInNpZ25hdHVyZSI6IiJ9,1528639717,False,@boomminho @lunatheboy @dolly_heyah @urbanzakapayongin @microdot 님께서지목해 주신 아이스버킷 챌린지 저는 마음을 담아 후원금을 보내는 것으로 대신하겠습니다. 루게릭전문 요양병원 설립을위한 아름다운 움직임을 진심으로 응원합니다.,12176,,
7,choiza11,https://www.instagram.com/p/BZlv9E7jRuh/,1613906946850364321,BZlv9E7jRuh,https://scontent-icn1-1.cdninstagram.com/vp/ecef6cafa487b4bf5ad1d197bf6ee5c0/5D891FB9/t51.2885-15/e15/21984615_1494191030676480_679514468186587136_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com&_nc_cat=100,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiOTJlOTA2YjRlODljNDkxMjljYTMzNDEzMjQwZGNmOTcxNjEzOTA2OTQ2ODUwMzY0MzIxIn0sInNpZ25hdHVyZSI6IiJ9,1506612722,False,"주인공도 없는 무대에서 우리도 맛있게 빨아먹고 있습니다. 
#라이노고마워 
#경기대학교 #가천대학교",3950,,
8,choiza11,https://www.instagram.com/p/BrsxLXkHops/,1940141824985172588,BrsxLXkHops,https://scontent-icn1-1.cdninstagram.com/vp/6e1a6d9092aff7323a6b312df5d29dc2/5D88EC26/t51.2885-15/e15/47583648_388798668534747_8900524548135944455_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com&_nc_cat=103,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiNjFiMDY5MDgwMTg1NDA4M2E2M2IzMjU0NmRlMjI5NWIxOTQwMTQxODI0OTg1MTcyNTg4In0sInNpZ25hdHVyZSI6IiJ9,1545502950,False,월드스타형 @42psy42 의 스케일... #worldstar #psy,4130,250336438964111,KSPO DOME
9,choiza11,https://www.instagram.com/p/BIDXCO_BOyT/,1297982426211216531,BIDXCO_BOyT,https://scontent-icn1-1.cdninstagram.com/vp/1a440341b6bdbc551b9ed1bee113312d/5E3CE305/t51.2885-15/e35/13743605_1750708295214641_1419674642_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com&_nc_cat=105,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiZmI1NGM1NGM3OTk2NGEwZTgxNTQ0ZGRiZTk2MmUxMjIxMjk3OTgyNDI2MjExMjE2NTMxIn0sInNpZ25hdHVyZSI6IiJ9,1468951584,False,"Yess!!! Hobby!

#DDDD",1072,413165102,블루스퀘어
